id;nome;data_nascimento;identificador;telefone;data_cadastro;valor_base
1;worriedly;mortified rebel;jacket thick load;sparkling poorly utilized;2024-09-03T14:47:03;3269.43
2;deadline presage er;way chillax wearily;servant jostle;couple dress;2024-09-03T13:19:18;3070.19
3;ouch bobble;around;quicken why;grape;2024-09-03T09:38:58;17939.93
4;now including;usefully;however abnormally;hence unless oof;2024-09-03T21:25:37;13273.88
5;toil heckle;err confidentiality tough;blackness;effect;2024-09-03T23:49:35;19122.89
6;sorrowful;dysfunction who whether;muffled slippery;well-to-do even disadvantage;2024-09-03T04:42:58;26621.76
7;tab amid scrimp;er;acidly lazily;crooked phooey;2024-09-03T03:07:52;28208.08
8;utterly picket;amongst buffer consequently;lag weary;revascularization into whose;2024-09-03T18:57:20;24839.1
9;until too enlightened;eek voluminous service;uphold wildly stimulating;apropos amongst soccer;2024-09-03T08:44:52;2196.31
10;nor;beside land brr;excepting drat;except;2024-09-03T21:13:07;21262.39
